City/Town	Precinct	Party	Reg. Voters	% of Reg. Voters
Cranston	0725	Democrat	1,458	48%
Cranston	0725	Republican	317	10%
Cranston	0725	Unaffiliated	1,273	42%
Cranston	0726	Democrat	821	45%
Cranston	0726	Republican	232	13%
Cranston	0726	Unaffiliated	770	42%
Cranston	0727	Democrat	524	51%
Cranston	0727	Republican	126	12%
Cranston	0727	Unaffiliated	384	37%
Cranston	0728	Democrat	26	54%
Cranston	0728	Republican	7	15%
Cranston	0728	Unaffiliated	15	31%
Cranston	0730	Democrat	807	25%
Cranston	0730	Republican	817	25%
Cranston	0730	Unaffiliated	1,637	50%
Cranston	0731	Democrat	765	31%
Cranston	0731	Republican	412	17%
Cranston	0731	Unaffiliated	1,265	52%
Cumberland	0801	Democrat	616	40%
Cumberland	0801	Republican	234	15%
Cumberland	0801	Unaffiliated	700	45%
Cumberland	0802	Democrat	778	41%
Cumberland	0802	Republican	266	14%
Cumberland	0802	Unaffiliated	865	45%
Cumberland	0803	Democrat	935	39%
Cumberland	0803	Republican	371	16%
Cumberland	0803	Unaffiliated	1,081	45%
Cumberland	0804	Democrat	243	34%
Cumberland	0804	Republican	125	18%
Cumberland	0804	Unaffiliated	346	48%
Cumberland	0805	Democrat	1,038	42%
Cumberland	0805	Republican	342	14%
Cumberland	0805	Unaffiliated	1,115	45%
Cumberland	0806	Democrat	889	41%
Cumberland	0806	Republican	312	14%
Cumberland	0806	Unaffiliated	989	45%
Cumberland	0807	Democrat	1,068	35%
Cumberland	0807	Republican	526	17%
Cumberland	0807	Unaffiliated	1,469	48%
Cumberland	0808	Democrat	1,041	37%
Cumberland	0808	Republican	458	16%
Cumberland	0808	Unaffiliated	1,323	47%
Cumberland	0809	Democrat	313	34%
Cumberland	0809	Republican	151	16%
Cumberland	0809	Unaffiliated	467	50%
Cumberland	0810	Democrat	1,001	49%
Cumberland	0810	Republican	186	9%
Cumberland	0810	Unaffiliated	836	41%
Cumberland	0811	Democrat	1,022	46%
Cumberland	0811	Republican	291	13%
Cumberland	0811	Unaffiliated	913	41%
Cumberland	0812	Democrat	793	40%
Cumberland	0812	Republican	252	13%
Cumberland	0812	Unaffiliated	915	47%
Cumberland	0813	Democrat	316	33%
Cumberland	0813	Republican	152	16%
Cumberland	0813	Unaffiliated	486	51%
East Greenwich	0901	Democrat	191	33%
East Greenwich	0901	Republican	105	18%
East Greenwich	0901	Unaffiliated	290	49%
East Greenwich	0902	Democrat	814	32%
East Greenwich	0902	Republican	532	21%
East Greenwich	0902	Unaffiliated	1,191	47%
East Greenwich	0903	Democrat	846	39%
East Greenwich	0903	Republican	373	17%
East Greenwich	0903	Unaffiliated	960	44%
East Greenwich	0904	Democrat	849	33%
East Greenwich	0904	Republican	476	19%
East Greenwich	0904	Unaffiliated	1,210	48%
East Greenwich	0905	Democrat	849	33%
East Greenwich	0905	Republican	565	22%
East Greenwich	0905	Unaffiliated	1,197	46%
East Providence	1001	Democrat	1,134	47%
East Providence	1001	Republican	277	11%
East Providence	1001	Unaffiliated	1,027	42%
East Providence	1002	Democrat	1,029	50%
East Providence	1002	Republican	196	10%
East Providence	1002	Unaffiliated	820	40%
East Providence	1003	Democrat	710	56%
East Providence	1003	Republican	115	9%
East Providence	1003	Unaffiliated	445	35%
East Providence	1004	Democrat	1,037	48%
East Providence	1004	Republican	255	12%
East Providence	1004	Unaffiliated	877	40%
East Providence	1005	Democrat	845	48%
East Providence	1005	Republican	208	12%
East Providence	1005	Unaffiliated	703	40%
East Providence	1006	Democrat	109	58%
East Providence	1006	Republican	17	9%
East Providence	1006	Unaffiliated	61	33%
East Providence	1007	Democrat	147	50%
East Providence	1007	Republican	24	8%
East Providence	1007	Unaffiliated	121	41%
East Providence	1008	Democrat	1,452	51%
East Providence	1008	Republican	270	9%
East Providence	1008	Unaffiliated	1,132	40%
East Providence	1009	Democrat	1,483	51%
East Providence	1009	Republican	279	10%
East Providence	1009	Unaffiliated	1,139	39%
East Providence	1010	Democrat	1,469	53%
East Providence	1010	Republican	266	10%
East Providence	1010	Unaffiliated	1,060	38%
East Providence	1011	Democrat	1,132	46%
East Providence	1011	Republican	323	13%
East Providence	1011	Unaffiliated	1,002	41%
East Providence	1012	Democrat	593	45%
East Providence	1012	Republican	145	11%
East Providence	1012	Unaffiliated	592	45%
East Providence	1013	Democrat	980	46%
East Providence	1013	Republican	238	11%
East Providence	1013	Unaffiliated	924	43%
East Providence	1014	Democrat	1,034	45%
East Providence	1014	Republican	288	13%
East Providence	1014	Unaffiliated	955	42%
East Providence	1015	Democrat	438	50%
East Providence	1015	Republican	101	12%
East Providence	1015	Unaffiliated	336	38%
East Providence	1016	Democrat	496	39%
East Providence	1016	Republican	146	11%
East Providence	1016	Unaffiliated	629	49%
East Providence	1017	Democrat	951	42%
East Providence	1017	Republican	295	13%
East Providence	1017	Unaffiliated	1,036	45%
East Providence	1018	Democrat	404	46%
East Providence	1018	Republican	97	11%
East Providence	1018	Unaffiliated	372	43%
Exeter	1101	Democrat	454	30%
Exeter	1101	Republican	286	19%
Exeter	1101	Unaffiliated	775	51%
Exeter	1102	Democrat	392	26%
Exeter	1102	Republican	329	22%
Exeter	1102	Unaffiliated	801	53%
Exeter	1103	Democrat	538	26%
Exeter	1103	Republican	428	21%
Exeter	1103	Unaffiliated	1,094	53%
Foster	1201	Democrat	479	24%
Foster	1201	Republican	447	23%
Foster	1201	Unaffiliated	1,033	53%
Foster	1202	Democrat	373	22%
Foster	1202	Republican	400	24%
Foster	1202	Unaffiliated	902	54%
Glocester	1301	Democrat	676	24%
Glocester	1301	Republican	604	21%
Glocester	1301	Unaffiliated	1,532	54%
Glocester	1302	Democrat	682	24%
Glocester	1302	Republican	588	20%
Glocester	1302	Unaffiliated	1,601	56%
Glocester	1303	Democrat	160	25%
Glocester	1303	Republican	143	22%
Glocester	1303	Unaffiliated	340	53%
Glocester	1304	Democrat	499	28%
Glocester	1304	Republican	332	19%
Glocester	1304	Unaffiliated	920	53%
Hopkinton	1401	Democrat	725	26%
Hopkinton	1401	Republican	621	23%
Hopkinton	1401	Unaffiliated	1,409	51%
Hopkinton	1402	Democrat	744	30%
Hopkinton	1402	Republican	524	21%
Hopkinton	1402	Unaffiliated	1,220	49%
Hopkinton	1403	Democrat	273	28%
Hopkinton	1403	Republican	224	23%
Hopkinton	1403	Unaffiliated	486	49%
Jamestown	1501	Democrat	1,085	47%
Jamestown	1501	Republican	371	16%
Jamestown	1501	Unaffiliated	843	37%
Jamestown	1502	Democrat	1,101	46%
Jamestown	1502	Republican	310	13%
Jamestown	1502	Unaffiliated	997	41%
Johnston	1601	Democrat	761	46%
Johnston	1601	Republican	230	14%
Johnston	1601	Unaffiliated	662	40%
Johnston	1602	Democrat	885	47%
Johnston	1602	Republican	281	15%
Johnston	1602	Unaffiliated	714	38%
Johnston	1603	Democrat	988	46%
Johnston	1603	Republican	287	13%
Johnston	1603	Unaffiliated	870	41%
Johnston	1604	Democrat	907	43%
Johnston	1604	Republican	344	16%
Johnston	1604	Unaffiliated	857	41%
Johnston	1605	Democrat	759	41%
Johnston	1605	Republican	306	17%
Johnston	1605	Unaffiliated	764	42%
Johnston	1606	Democrat	224	50%
Johnston	1606	Republican	63	14%
Johnston	1606	Unaffiliated	158	36%
Johnston	1607	Democrat	257	45%
Johnston	1607	Republican	86	15%
Johnston	1607	Unaffiliated	229	40%
Johnston	1608	Democrat	1,073	44%
Johnston	1608	Republican	347	14%
Johnston	1608	Unaffiliated	1,017	42%
Johnston	1609	Democrat	825	49%
Johnston	1609	Republican	235	14%
Johnston	1609	Unaffiliated	614	37%
Johnston	1610	Democrat	1,126	44%
Johnston	1610	Republican	360	14%
Johnston	1610	Unaffiliated	1,053	41%
Johnston	1611	Democrat	670	50%
Johnston	1611	Republican	171	13%
Johnston	1611	Unaffiliated	503	37%
Johnston	1612	Democrat	658	44%
Johnston	1612	Republican	228	15%
Johnston	1612	Unaffiliated	605	41%
Johnston	1613	Democrat	627	40%
Johnston	1613	Republican	278	18%
Johnston	1613	Unaffiliated	674	43%
Lincoln	1701	Democrat	873	30%
Lincoln	1701	Republican	578	20%
Lincoln	1701	Unaffiliated	1,433	50%
Lincoln	1702	Democrat	449	36%
Lincoln	1702	Republican	194	16%
Lincoln	1702	Unaffiliated	597	48%
Lincoln	1703	Democrat	673	34%
Lincoln	1703	Republican	280	14%
Lincoln	1703	Unaffiliated	1,000	51%
Lincoln	1704	Democrat	886	35%
Lincoln	1704	Republican	410	16%
Lincoln	1704	Unaffiliated	1,227	49%
Lincoln	1705	Democrat	578	33%
Lincoln	1705	Republican	265	15%
Lincoln	1705	Unaffiliated	928	52%
Lincoln	1706	Democrat	159	32%
Lincoln	1706	Republican	100	20%
Lincoln	1706	Unaffiliated	234	47%
Lincoln	1707	Democrat	187	31%
Lincoln	1707	Republican	126	21%
Lincoln	1707	Unaffiliated	287	48%
Lincoln	1708	Democrat	734	34%
Lincoln	1708	Republican	353	16%
Lincoln	1708	Unaffiliated	1,065	49%
Lincoln	1709	Democrat	269	32%
Lincoln	1709	Republican	152	18%
Lincoln	1709	Unaffiliated	422	50%
Lincoln	1710	Democrat	296	36%
Lincoln	1710	Republican	122	15%
Lincoln	1710	Unaffiliated	415	50%
Lincoln	1711	Democrat	359	38%
Lincoln	1711	Republican	138	14%
Lincoln	1711	Unaffiliated	459	48%
Little Compton	1801	Democrat	1,105	36%
Little Compton	1801	Republican	581	19%
Little Compton	1801	Unaffiliated	1,420	46%
Middletown	1901	Democrat	716	41%
Middletown	1901	Republican	289	16%
Middletown	1901	Unaffiliated	759	43%
Middletown	1902	Democrat	804	40%
Middletown	1902	Republican	301	15%
Middletown	1902	Unaffiliated	894	45%
Middletown	1903	Democrat	771	41%
Middletown	1903	Republican	270	14%
Middletown	1903	Unaffiliated	826	44%
Middletown	1904	Democrat	1,194	41%
Middletown	1904	Republican	407	14%
Middletown	1904	Unaffiliated	1,329	45%
Middletown	1905	Democrat	798	38%
Middletown	1905	Republican	376	18%
Middletown	1905	Unaffiliated	942	45%
Narragansett	2001	Democrat	120	42%
Narragansett	2001	Republican	43	15%
Narragansett	2001	Unaffiliated	123	43%
Narragansett	2002	Democrat	1,068	39%
Narragansett	2002	Republican	395	14%
Narragansett	2002	Unaffiliated	1,282	47%
Narragansett	2003	Democrat	1,044	38%
Narragansett	2003	Republican	421	15%
Narragansett	2003	Unaffiliated	1,266	46%
Narragansett	2004	Democrat	1,084	38%
Narragansett	2004	Republican	474	17%
Narragansett	2004	Unaffiliated	1,272	45%
Narragansett	2005	Democrat	932	35%
Narragansett	2005	Republican	433	16%
Narragansett	2005	Unaffiliated	1,271	48%
New Shoreham	2201	Democrat	577	51%
New Shoreham	2201	Republican	153	13%
New Shoreham	2201	Unaffiliated	406	36%
Newport	2101	Democrat	639	44%
Newport	2101	Republican	187	13%
Newport	2101	Unaffiliated	622	43%
Newport	2102	Democrat	1,336	51%
Newport	2102	Republican	285	11%
Newport	2102	Unaffiliated	1,019	39%
Newport	2103	Democrat	441	50%
Newport	2103	Republican	105	12%
Newport	2103	Unaffiliated	329	38%
Newport	2104	Democrat	343	53%
Newport	2104	Republican	75	12%
Newport	2104	Unaffiliated	225	35%
Newport	2105	Democrat	941	50%
Newport	2105	Republican	261	14%
Newport	2105	Unaffiliated	696	37%
Newport	2106	Democrat	1,013	46%
Newport	2106	Republican	368	17%
Newport	2106	Unaffiliated	839	38%
Newport	2107	Democrat	940	45%
Newport	2107	Republican	323	16%
Newport	2107	Unaffiliated	820	39%
Newport	2108	Democrat	564	54%
Newport	2108	Republican	115	11%
Newport	2108	Unaffiliated	373	35%
Newport	2109	Democrat	442	59%
Newport	2109	Republican	39	5%
Newport	2109	Unaffiliated	268	36%
North Kingstown	2301	Democrat	574	30%
North Kingstown	2301	Republican	355	19%
North Kingstown	2301	Unaffiliated	954	51%
North Kingstown	2302	Democrat	1,119	36%
North Kingstown	2302	Republican	495	16%
North Kingstown	2302	Unaffiliated	1,498	48%
North Kingstown	2303	Democrat	873	33%
North Kingstown	2303	Republican	503	19%
North Kingstown	2303	Unaffiliated	1,301	49%
North Kingstown	2304	Democrat	841	33%
North Kingstown	2304	Republican	448	17%
North Kingstown	2304	Unaffiliated	1,276	50%
North Kingstown	2305	Democrat	469	30%
North Kingstown	2305	Republican	305	20%
North Kingstown	2305	Unaffiliated	764	50%
North Kingstown	2306	Democrat	495	32%
North Kingstown	2306	Republican	259	17%
North Kingstown	2306	Unaffiliated	811	52%
North Kingstown	2307	Democrat	1,076	39%
North Kingstown	2307	Republican	431	16%
North Kingstown	2307	Unaffiliated	1,260	46%
North Kingstown	2308	Democrat	989	35%
North Kingstown	2308	Republican	444	16%
North Kingstown	2308	Unaffiliated	1,379	49%
North Kingstown	2309	Democrat	1,081	37%
North Kingstown	2309	Republican	470	16%
North Kingstown	2309	Unaffiliated	1,391	47%
North Providence	2401	Democrat	617	53%
North Providence	2401	Republican	129	11%
North Providence	2401	Unaffiliated	426	36%
North Providence	2402	Democrat	855	51%
North Providence	2402	Republican	164	10%
North Providence	2402	Unaffiliated	646	39%
North Providence	2403	Democrat	859	53%
North Providence	2403	Republican	188	11%
North Providence	2403	Unaffiliated	588	36%
North Providence	2404	Democrat	515	55%
North Providence	2404	Republican	85	9%
North Providence	2404	Unaffiliated	329	35%
North Providence	2405	Democrat	631	52%
North Providence	2405	Republican	122	10%
North Providence	2405	Unaffiliated	451	37%
North Providence	2406	Democrat	952	52%
North Providence	2406	Republican	205	11%
North Providence	2406	Unaffiliated	688	37%
North Providence	2407	Democrat	933	53%
North Providence	2407	Republican	192	11%
North Providence	2407	Unaffiliated	629	36%
North Providence	2408	Democrat	837	49%
North Providence	2408	Republican	175	10%
North Providence	2408	Unaffiliated	705	41%
North Providence	2409	Democrat	497	54%
North Providence	2409	Republican	91	10%
North Providence	2409	Unaffiliated	333	36%
North Providence	2410	Democrat	658	52%
North Providence	2410	Republican	142	11%
North Providence	2410	Unaffiliated	468	37%
North Providence	2411	Democrat	900	54%
North Providence	2411	Republican	176	11%
North Providence	2411	Unaffiliated	593	36%
North Providence	2412	Democrat	980	53%
North Providence	2412	Republican	178	10%
North Providence	2412	Unaffiliated	691	37%
North Providence	2413	Democrat	565	55%
North Providence	2413	Republican	107	10%
North Providence	2413	Unaffiliated	358	35%
North Providence	2414	Democrat	477	52%
North Providence	2414	Republican	87	9%
North Providence	2414	Unaffiliated	354	39%
North Providence	2415	Democrat	705	57%
North Providence	2415	Republican	100	8%
North Providence	2415	Unaffiliated	423	34%
North Providence	2416	Democrat	1,315	54%
North Providence	2416	Republican	226	9%
North Providence	2416	Unaffiliated	873	36%
North Smithfield	2501	Democrat	591	27%
North Smithfield	2501	Republican	434	20%
North Smithfield	2501	Unaffiliated	1,136	53%
North Smithfield	2502	Democrat	590	26%
North Smithfield	2502	Republican	465	21%
North Smithfield	2502	Unaffiliated	1,196	53%
North Smithfield	2503	Democrat	562	30%
North Smithfield	2503	Republican	352	19%
North Smithfield	2503	Unaffiliated	967	51%
North Smithfield	2504	Democrat	583	33%
North Smithfield	2504	Republican	348	20%
North Smithfield	2504	Unaffiliated	853	48%
North Smithfield	2505	Democrat	355	33%
North Smithfield	2505	Republican	215	20%
North Smithfield	2505	Unaffiliated	499	47%
Pawtucket	2601	Democrat	350	59%
Pawtucket	2601	Republican	32	5%
Pawtucket	2601	Unaffiliated	207	35%
Pawtucket	2602	Democrat	831	61%
Pawtucket	2602	Republican	58	4%
Pawtucket	2602	Unaffiliated	480	35%
Pawtucket	2603	Democrat	1,472	57%
Pawtucket	2603	Republican	198	8%
Pawtucket	2603	Unaffiliated	917	35%
Pawtucket	2604	Democrat	721	58%
Pawtucket	2604	Republican	114	9%
Pawtucket	2604	Unaffiliated	398	32%
Pawtucket	2605	Democrat	616	60%
Pawtucket	2605	Republican	57	6%
Pawtucket	2605	Unaffiliated	360	35%
Pawtucket	2606	Democrat	793	61%
Pawtucket	2606	Republican	66	5%
Pawtucket	2606	Unaffiliated	435	34%
Pawtucket	2607	Democrat	1,638	64%
Pawtucket	2607	Republican	112	4%
Pawtucket	2607	Unaffiliated	819	32%
Pawtucket	2608	Democrat	1,378	62%
Pawtucket	2608	Republican	154	7%
Pawtucket	2608	Unaffiliated	696	31%
Pawtucket	2609	Democrat	210	58%
Pawtucket	2609	Republican	29	8%
Pawtucket	2609	Unaffiliated	121	34%
Pawtucket	2610	Democrat	166	57%
Pawtucket	2610	Republican	16	5%
Pawtucket	2610	Unaffiliated	110	38%
Pawtucket	2611	Democrat	707	60%
Pawtucket	2611	Republican	85	7%
Pawtucket	2611	Unaffiliated	391	33%
Pawtucket	2612	Democrat	862	51%
Pawtucket	2612	Republican	172	10%
Pawtucket	2612	Unaffiliated	672	39%
Pawtucket	2613	Democrat	1,238	56%
Pawtucket	2613	Republican	164	7%
Pawtucket	2613	Unaffiliated	814	37%
Pawtucket	2614	Democrat	1,091	59%
Pawtucket	2614	Republican	116	6%
Pawtucket	2614	Unaffiliated	655	35%
Pawtucket	2615	Democrat	443	59%
Pawtucket	2615	Republican	44	6%
Pawtucket	2615	Unaffiliated	261	35%
Pawtucket	2616	Democrat	201	56%
Pawtucket	2616	Republican	38	10%
Pawtucket	2616	Unaffiliated	123	34%
Pawtucket	2617	Democrat	263	55%
Pawtucket	2617	Republican	30	6%
Pawtucket	2617	Unaffiliated	182	38%
Pawtucket	2618	Democrat	1,373	51%
Pawtucket	2618	Republican	274	10%
Pawtucket	2618	Unaffiliated	1,056	39%
Pawtucket	2619	Democrat	709	51%
Pawtucket	2619	Republican	132	10%
Pawtucket	2619	Unaffiliated	539	39%
Pawtucket	2620	Democrat	1,454	52%
Pawtucket	2620	Republican	257	9%
Pawtucket	2620	Unaffiliated	1,071	38%
Pawtucket	2621	Democrat	359	49%
Pawtucket	2621	Republican	79	11%
Pawtucket	2621	Unaffiliated	297	40%
Pawtucket	2622	Democrat	217	49%
Pawtucket	2622	Republican	46	10%
Pawtucket	2622	Unaffiliated	182	41%
Pawtucket	2623	Democrat	337	50%
Pawtucket	2623	Republican	54	8%
Pawtucket	2623	Unaffiliated	289	43%
Pawtucket	2624	Democrat	313	50%
Pawtucket	2624	Republican	70	11%
Pawtucket	2624	Unaffiliated	245	39%
Pawtucket	2625	Democrat	389	56%
Pawtucket	2625	Republican	59	8%
Pawtucket	2625	Unaffiliated	252	36%
Pawtucket	2626	Democrat	211	62%
Pawtucket	2626	Republican	20	6%
Pawtucket	2626	Unaffiliated	109	32%
Pawtucket	2627	Democrat	866	55%
Pawtucket	2627	Republican	136	9%
Pawtucket	2627	Unaffiliated	569	36%
Pawtucket	2628	Democrat	1,076	51%
Pawtucket	2628	Republican	235	11%
Pawtucket	2628	Unaffiliated	817	38%
Pawtucket	2629	Democrat	1,533	51%
Pawtucket	2629	Republican	282	9%
Pawtucket	2629	Unaffiliated	1,185	40%
Pawtucket	2630	Democrat	107	51%
Pawtucket	2630	Republican	24	11%
Pawtucket	2630	Unaffiliated	78	37%
Pawtucket	2631	Democrat	678	63%
Pawtucket	2631	Republican	56	5%
Pawtucket	2631	Unaffiliated	350	32%
Portsmouth	2701	Democrat	55	34%
Portsmouth	2701	Republican	29	18%
